"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa06188-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06189-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06190-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06191-RA",0,1.026234,15.520863,0,0,0,0,5.153022,4.168049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06192-RA",50.566106,7.183637,34.145899,0,31.474797,0,0,19.581484,15.630185,3.106878,0,0,4.159716,0,0,6.184143,0,0,0,0,0,0,0,1.025735,0,0,0,0,0
"Mcavernosa06196-RA",0,23.603378,1.034724,0,0,0,0,0,0,0,0,0,93.593611,1.047766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06197-RA",112.483786,51.311692,88.986281,0,66.097074,62.178532,0,1.030604,5.210062,95.277603,0,0,37.437445,0,0,57.718668,0,1.042747,0,56.405316,0,7.264578,0,0,1.035809,149.654099,0,0,92.147526
"Mcavernosa06198-RA",0,2.052468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06199-RA",1.031961,9.236104,10.347242,0,5.2458,0,0,11.336648,21.88226,17.605644,0,0,28.078083,1.047766,0,0,0,0,0,0,29.070094,0,11.43785,1.025735,0,39.492054,1.053919,1.051487,59.686466
"Mcavernosa06200-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06201-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06203-RA",0,2.052468,7.243069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06204-RA",0,0,0,0,0,0,0,0,4.168049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025735,0,0,0,0,0
"Mcavernosa06205-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06206-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06207-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06208-RA",0,0,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06209-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06210-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06211-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06213-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06214-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06215-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06216-RA",78.429062,10.262338,36.215347,0,231.864339,0,0,4.122418,1.042012,23.819401,0,0,0,0,0,31.951406,0,0,0,0,3.114653,0,0,0,0,1.039265,0,0,0
"Mcavernosa06217-RA",0,0,0,0,0,1.053873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06218-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06219-RA",273.469756,134.436632,273.167189,5.271179,488.908517,1.053873,1.034852,58.744451,63.562754,293.082193,40.350987,0,486.68678,7.334363,0,74.209716,0,1.042747,0,189.062262,66.44593,44.625265,32.233942,181.555112,0,232.795266,6.323512,100.942739,0
"Mcavernosa06220-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06221-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06222-RA",35.086686,26.68208,25.868105,0,73.441193,12.646481,1.034852,1.030604,7.294087,34.175662,24.831377,0,81.114463,0,0,6.184143,0,0,0,0,0,0,0,0,0,10.392646,0,67.295159,16.754096
"Mcavernosa06223-RA",0,0,0,0,0,0,0,5.153022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06225-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06227-RA",0,0,3.104173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06228-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06232-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06233-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06234-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06235-RA",0,1.026234,0,1.054236,7.344119,0,0,0,0,20.712522,0,0,75.914818,0,0,0,0,0,0,0,0,0,0,0,0,13.51044,0,0,0
"Mcavernosa06236-RA",0,3.078701,11.381966,0,0,0,0,0,1.042012,30.033158,0,0,0,0,0,19.58312,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06239-RA",0,2.052468,1.034724,0,0,0,0,6.183626,0,1.035626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06240-RA",0,32.839483,2.069448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06242-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06244-RA",0,22.577144,0,0,0,0,0,0,0,21.748149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06245-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06248-RA",0,0,2.069448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06250-RA",127.963206,53.364159,234.882393,3.162707,53.507155,0,0,0,11.462136,18.64127,0,308.700257,0,0,0,20.61381,0,0,0,0,0,0,0,0,0,14.549704,0,0,0
"Mcavernosa06251-RA",9.287652,5.131169,15.520863,0,0,0,0,0,1.042012,0,0,0,0,0,0,0,0,15.641204,0,0,0,0,0,0,0,2.078529,0,0,0
"Mcavernosa06252-RA",0,0,1.034724,0,0,0,0,0,2.084025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06254-RA",25.799034,69.783901,157.278078,0,1.04916,0,0,15.459066,19.798235,33.140036,0,0,0,0,0,0,1.043057,38.581636,0,0,0,0,0,0,1.035809,4.157058,1.053919,0,0
"Mcavernosa06255-RA",11.351575,21.55091,13.451415,7.37965,0,0,0,0,9.378111,6.213757,0,0,9.359361,0,0,0,0,5.213735,5.214736,0,0,0,0,1.025735,0,74.82705,0,0,0
"Mcavernosa06257-RA",0,0,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06258-RA",0,2.052468,18.625036,0,0,0,0,2.061209,1.042012,1.035626,1.034641,0,0,0,0,16.491048,0,1.042747,0,0,0,0,0,0,0,0,1.053919,77.810028,0
"Mcavernosa06260-RA",0,7.183637,4.138897,0,0,0,0,0,0,0,0,0,0,0,1.050927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06261-RA",0,0,0,0,0,0,0,0,6.252074,0,0,0,0,5.23883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06263-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06264-RA",5.159807,41.049353,73.465418,0,63.998754,0,0,1.030604,8.336099,13.46314,1.034641,0,0,0,0,1.030691,0,0,0,0,0,0,0,0,0,35.334996,0,0,0
"Mcavernosa06265-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.039265,0,0,0
"Mcavernosa06266-RA",0,0,2.069448,0,0,0,0,0,0,0,0,1.042906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06267-RA",0,10.262338,11.381966,0,0,0,0,0,18.756223,32.10441,0,0,44.716948,0,0,23.705882,0,0,0,0,0,0,0,0,0,12.471175,0,0,0
"Mcavernosa06269-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06270-RA",1.031961,6.157403,35.180623,8.433886,26.228998,0,0,6.183626,7.294087,12.427513,0,0,16.638864,0,1.050927,0,0,1.042747,0,0,0,0,0,1.025735,0,0,0,0,0
"Mcavernosa06273-RA",0,9.236104,54.840383,10.542358,16.786559,0,0,0,4.168049,21.748149,0,0,0,0,0,7.214834,0,0,0,0,0,0,0,1.025735,0,20.785292,0,0,0
"Mcavernosa06278-RA",13.415497,4.104935,45.527865,0,0,0,0,7.214231,0,0,0,0,40.557232,0,0,0,0,0,0,0,0,3.113391,1.039805,0,0,2.078529,0,0,0
"Mcavernosa06281-RA",121.771438,159.066244,239.02129,20.030479,230.81518,0,1.034852,9.27544,66.688791,216.44586,1.034641,0,93.593611,5.23883,3.152781,78.332478,0,1.042747,0,0,0,91.326123,9.358241,0,1.035809,315.936432,0,146.156674,327.751996
"Mcavernosa06282-RA",4.127845,15.393507,22.763932,0,54.556315,0,0,0,8.336099,3.106878,0,0,3.119787,0,0,11.337596,0,27.11142,0,0,0,1.037797,12.477655,0,0,1.039265,0,0,0
"Mcavernosa06283-RA",0,8.209871,14.486139,0,0,0,0,3.091813,1.042012,7.249383,0,0,41.597161,0,0,9.276215,0,0,0,59.538944,0,0,0,0,0,69.630727,0,0,0
"Mcavernosa06284-RA",14.447459,17.445975,35.180623,1.054236,3.14748,0,0,7.214231,11.462136,109.776369,0,0,44.716948,7.334363,0,23.705882,0,1.042747,14.601261,0,0,0,0,0,0,137.182924,0,24.184198,54.450811
"Mcavernosa06285-RA",10.319613,10.262338,40.354244,18.976244,68.195394,0,0,3.091813,2.084025,11.391887,0,0,11.439219,0,0,0,0,1.042747,0,0,0,0,2.079609,0,1.035809,3.117794,0,0,0
"Mcavernosa06286-RA",0,0,1.034724,0,0,0,0,2.061209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06288-RA",0,0,3.104173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.199023,0,0,0,0,0,0
"Mcavernosa06290-RA",0,3.078701,9.312518,0,0,0,0,10.306044,3.126037,0,1.034641,0,0,2.095532,0,0,0,0,0,0,0,0,0,0,1.035809,7.274852,0,0,0
"Mcavernosa06292-RA",70.173371,206.273,88.986281,5.271179,6.294959,0,190.412679,60.805659,119.831422,92.170725,25.866018,20.858126,856.90151,2.095532,1.050927,188.616362,1.043057,32.325154,0,16.712686,17.6497,6.226781,16.636873,2.05147,0,298.268934,0,2.102974,180.106528
"Mcavernosa06293-RA",0,3.078701,3.104173,0,0,0,0,0,0,0,0,0,0,0,0,1.030691,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06294-RA",0,0,0,0,0,0,0,3.091813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06296-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06297-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06299-RA",4.127845,14.367274,18.625036,0,55.605475,0,0,0,4.168049,14.498766,0,0,60.315883,0,0,0,0,1.042747,0,0,0,0,0,0,0,0,0,78.861515,0
"Mcavernosa06300-RA",30.95884,10.262338,14.486139,1.054236,0,0,0,2.061209,15.630185,78.707585,0,33.373001,266.221828,0,37.833369,1.030691,41.722289,1.042747,7.300631,0,1.038218,23.869328,25.995114,1.025735,0,93.533812,1.053919,0,1.047131
"Mcavernosa06301-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06302-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06303-RA",0,24.629612,32.07645,0,0,0,0,0,4.168049,33.140036,0,0,0,0,0,17.521739,0,0,0,0,0,0,0,1.025735,0,38.452789,0,0,0
"Mcavernosa06304-RA",0,2.052468,16.555587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.514869,0
"Mcavernosa06306-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06309-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06310-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06311-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06315-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06316-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06317-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06318-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06319-RA",0,0,0,0,0,0,0,0,1.042012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06326-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06327-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06335-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06336-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06337-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06340-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06341-RA",0,0,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06349-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06350-RA",146.538511,75.941304,49.666762,7.37965,63.998754,0,0,0,14.588173,163.628927,0,74.046346,93.593611,0,0,3.092072,1.043057,32.325154,0,397.970839,0,4.151187,14.557264,335.415376,1.035809,45.727641,0,0,0
"Mcavernosa06351-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06353-RA",0,23.603378,67.257073,0,24.130678,0,0,0,3.126037,4.142504,0,0,0,0,0,4.122762,0,0,0,0,0,0,30.154333,0,0,0,0,0,0
"Mcavernosa06354-RA",0,0,11.593417,0,0,0,0,3.091813,5.210062,0,0,0,0,0,0,0,0,0,0,3.6559,0,0,20.796091,0,0,1.039265,0,0,0
"Mcavernosa06355-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06356-RA",40.246492,18.472209,29.795551,0,0,0,0,0,2.084025,44.531923,0,0,0,0,0,0,0,0,0,3.6559,0,0,0,0,0,0,0,0,0
"Mcavernosa06357-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06358-RA",0,0,2.069448,0,0,0,0,8.244835,12.504148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06359-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06360-RA",0,0,7.243069,0,0,0,0,0,0,0,0,0,3.119787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06361-RA",19.607265,21.55091,20.694484,1.054236,0,0,0,7.214231,5.210062,3.106878,0,0,93.593611,0,0,28.859334,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06362-RA",0,0,5.173621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06364-RA",46.43826,9.236104,7.243069,1.054236,0,0,0,2.061209,0,67.315698,0,0,23.918367,0,0,0,0,0,0,32.380829,0,1.037797,21.835896,0,0,29.099408,0,0,0
"Mcavernosa06366-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06367-RA",0,0,0,0,0,0,0,0,1.042012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06368-RA",28.894918,0,64.1529,0,0,0,0,11.336648,10.420124,22.783775,0,0,0,0,0,21.644501,0,0,0,0,18.687918,0,0,732.374858,0,31.177937,0,0,53.40368
"Mcavernosa06369-RA",41.278454,89.282343,155.20863,1.054236,214.028621,0,0,25.76511,57.31068,101.49136,101.394789,139.749441,194.466726,0,1.050927,29.890025,0,0,1.042947,0,1.038218,1.037797,12.477655,0,0,68.591462,1.053919,7.360408,59.686466
"Mcavernosa06372-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06375-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06378-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06384-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06385-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06386-RA",0,0,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06388-RA",0,2.052468,12.41669,0,0,0,0,0,0,5.178131,1.034641,0,21.838509,0,0,25.767263,0,0,0,0,0,0,0,0,0,0,0,0,37.696715
"Mcavernosa06389-RA",0,0,37.250071,0,3.14748,0,0,0,2.084025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.157058,0,0,0
"Mcavernosa06390-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06391-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06393-RA",0,0,2.069448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06395-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06397-RA",0,9.236104,7.243069,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043057,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06398-RA",0,1.026234,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06401-RA",47.470222,33.865716,62.083452,4.216943,1.04916,4.215494,0,9.27544,5.210062,38.318167,0,0,0,0,0,9.276215,0,0,0,0,1.038218,2.075594,1.039805,774.429996,0,4.157058,0,1.051487,16.754096
"Mcavernosa06405-RA",0,0,0,0,0,0,0,5.153022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06406-RA",0,0,1.034724,0,0,0,0,0,1.042012,2.092731,0,0,0,0,0,0,0,0,0,0,5.191088,0,0,0,0,0,0,0,0
"Mcavernosa06408-RA",1.031961,25.655846,51.73621,11.596593,0,4.215494,0,17.520275,18.756223,108.719264,31.039221,0,190.30701,4.191064,2.101854,135.020456,0,39.624383,1.042947,113.855174,0,3.113391,9.358241,0,2.071617,74.82705,1.053919,1.051487,5.235655
"Mcavernosa06411-RA",3.095884,50.285458,135.54887,1.054236,4.19664,0,2.069703,34.009945,12.504148,197.80459,0,0,225.664597,0,0,26.797953,0,0,10.429472,0,0,0,16.636873,0,0,55.081023,0,0,70.157776
"Mcavernosa06412-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06414-RA",0,12.314806,5.173621,0,0,0,0,0,0,3.106878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06415-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06416-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06417-RA",0,0,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06418-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06419-RA",0,8.209871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06421-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06422-RA",0,0,2.069448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06423-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06424-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06425-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06426-RA",1.031961,6.157403,10.347242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94262
"Mcavernosa06427-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06428-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
