UniqueCount	AmbigCount
0	241391
0	747787
0	960471
0	308
0	1329
0	2469107
0	231
0	69
0	1
0	2
0	0
0	0
0	0
0	36
0	36
0	36
0	1
0	1
0	80
0	6
0	8
0	217
0	213
0	183
0	0
0	9
0	9
0	9
0	9
0	20
0	0
0	23
0	2
0	0
0	1
0	1
0	8
0	0
0	8
0	8
0	0
0	4
0	1
0	34
0	34
0	25
0	25
0	3
0	2
0	126
0	21
0	20
0	17
0	6
0	43
0	43
0	1
0	1
0	0
0	0
0	1
0	1
0	1
0	0
0	10
0	0
0	0
0	25
0	41
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	120
0	0
0	6
0	0
0	1
0	0
0	6
0	2
0	113
0	36
0	37
0	45
0	32
0	94
0	0
0	21
0	0
0	3
0	5
0	6
0	35
0	6
0	6
0	62
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	59
0	0
0	0
0	102
0	6
0	5
0	131
0	4
0	1
0	33
0	25
0	21
0	359
0	354
0	2
0	0
0	4
0	1
0	0
0	0
0	0
0	1
0	7
0	7
0	7
0	4
0	11
0	11
0	19
0	17
0	28
0	17
0	86
0	34
0	8
0	11
0	134
0	484
0	98
0	333
0	80
0	4
0	0
0	0
0	0
0	69
0	0
0	22
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	355
0	212
0	238
0	234
0	11
0	0
0	0
0	2
0	38
0	7
0	37
0	82
0	7
0	211
0	208
0	55
0	59
0	55
0	63
0	0
0	1
0	2
0	3
0	14
0	0
0	0
0	28
0	395
0	17
0	17
0	17
0	17
0	17
0	2
0	1631
0	0
0	1
0	0
0	10
0	129
0	129
0	128
0	6
0	3
0	3
0	44
0	44
0	31
0	0
0	13
0	216
0	51
0	22
0	22
0	316
0	505
0	0
0	42
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	42
0	26
0	0
0	249
0	12
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	2
0	20
0	1
0	65
0	125
0	1
0	4
0	4
0	117
0	185
0	68
0	55
0	55
0	20
0	361
0	0
0	2
0	2
0	140
0	141
0	182
0	32
0	60
0	51
0	3
0	3
0	39
0	1
0	369
0	369
0	164
0	8
0	4
0	0
0	95
0	6
0	313
0	6
0	7
0	2
0	63
0	63
0	24
0	3
0	2
0	1
0	0
0	2
0	0
0	1
0	1
0	0
0	8
0	42
0	0
0	0
0	0
0	1
0	1
0	0
0	5
0	0
0	0
0	162
0	5
0	19
0	122
0	122
0	1
0	1
0	10
0	10
0	10
0	10
0	0
0	133
0	234
0	748
0	11
0	231
0	231
0	239
0	239
0	239
0	239
0	488
0	33
0	82
0	0
0	0
0	246
0	246
0	5
0	0
0	0
0	0
0	0
0	2249
0	5
0	135
0	135
0	117
0	1
0	22
0	1
0	260
0	54
0	2
0	22
0	4
0	0
0	2
0	108
0	9
0	150
0	46
0	46
0	10
0	7
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	3
0	2
0	0
0	4
0	4
0	1
0	0
0	0
0	0
0	56
0	73
0	73
0	180
0	5
0	20
0	62
0	64
0	0
0	192
0	66
0	23
0	0
0	0
0	3
0	45
0	45
0	0
0	27
0	0
0	3
0	84
0	30
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	326
0	119
0	125
0	126
0	1346
0	7
0	1
0	0
0	1
0	6
0	0
0	198
0	368
0	0
0	0
0	13
0	63
0	203
0	100
0	108
0	24
0	0
0	119
0	15
0	74
0	74
0	74
0	74
0	74
0	59
0	13
0	13
0	13
0	0
0	2
0	1
0	1
0	1
0	11
0	3
0	9
0	137
0	3
0	7
0	7
0	24
0	0
0	24
0	24
0	24
0	24
0	2
0	1
0	49
0	0
0	47
0	29
0	0
0	16
0	0
0	1
0	1
0	4
0	0
0	6
0	12
0	77
0	6
0	0
0	0
0	166
0	2
0	0
0	0
0	103
0	61
0	102
0	106
0	5
0	14
0	1
0	122
0	453
0	2
0	3
0	116
0	1
0	16
0	0
0	0
0	3
0	3
0	7
0	5
0	2
0	0
0	105
0	0
0	0
0	8
0	8
0	17
0	22
0	7
0	7
0	138
0	138
0	111
0	0
0	23
0	109
0	10
0	0
0	3
0	2
0	1
0	11
0	5
0	5
0	0
0	0
0	16
0	3
0	39
0	16
0	4
0	4
0	4
0	16
0	0
0	43
0	1
0	2
0	3
0	2
0	3
0	1
0	5
0	0
0	0
0	1
0	22
0	4
0	994
0	994
0	4
0	4
0	0
0	39
0	39
0	7
0	7
0	8
0	61
0	490
0	11
0	1
0	17
0	6
0	0
0	116
0	116
0	555
0	11
0	6
0	6
0	4
0	4
0	6
0	5
0	45
0	1567
0	1550
0	1550
0	1
0	0
0	0
0	154
0	38
0	17
0	19
0	52
0	15
0	0
0	1
0	78
0	20
0	0
0	0
0	15
0	0
0	0
0	0
0	44
0	0
0	0
0	0
0	2
0	10
0	0
0	16
0	250
0	1
0	0
0	0
0	0
0	0
0	12
0	72
0	0
0	0
0	5
0	19
0	0
0	0
0	0
0	0
0	6
0	5
0	0
0	19
0	48
0	6
0	48
0	93
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	16
0	16
0	99
0	3
0	0
0	0
0	0
0	0
0	0
0	9
0	1
0	0
0	3
0	0
0	6
0	155
0	158
0	1
0	41
0	2
0	5
0	20
0	19
0	3
0	0
0	0
0	6
0	14
0	29
0	2
0	103
0	0
0	0
0	0
0	47
0	0
0	107
0	344
0	252
0	9
0	0
0	2
0	319
0	119
0	303
0	145
0	22
0	35
0	1615
0	39
0	91
0	84
0	1
0	83
0	23
0	0
0	6
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	7
0	4
0	0
0	0
0	3
0	5
0	0
0	3
0	0
0	8
0	8
0	48
0	157
0	157
0	57
0	57
0	57
0	121
0	41
0	0
0	0
0	14
0	0
0	5
0	5
0	5
0	0
0	5
0	5
0	13
0	79
0	0
0	0
0	0
0	26
0	54
0	6
0	14
0	6
0	0
0	87
0	0
0	11
0	0
0	0
0	1
0	1
0	2
0	0
0	0
0	213
0	361
0	0
0	2
0	0
0	0
0	0
0	20
0	51
0	0
0	14
0	2
0	66
0	14
0	14
0	14
0	14
0	187
0	322
0	320
0	330
0	320
0	322
0	0
0	95
0	26
0	0
0	0
0	168
0	215
0	36
0	0
0	0
0	66
0	9
0	8
0	0
0	0
0	0
0	2
0	6
0	9
0	0
0	9
0	5
0	17
0	3
0	67
0	44
0	7
0	7
0	20
0	35
0	18
0	43
0	3
0	3
0	354
0	404
0	4409
0	4409
0	79
0	9
0	65
0	65
0	220
0	218
0	218
0	218
0	153
0	0
0	0
0	4
0	104
0	147
0	22
0	155
0	0
0	4
0	81
0	191
0	0
0	1
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	86
0	27
0	0
0	0
0	0
0	1
0	0
0	44
0	44
0	625
0	184
0	110
0	115
0	22
0	3
0	0
0	0
0	0
0	1
0	31
0	0
0	1
0	0
0	31
0	31
0	31
0	31
0	32
0	32
0	3
0	3
0	134
0	7
0	16
0	9
0	1
0	9
0	8
0	8
0	109
0	0
0	13
0	1
0	16
0	0
0	53
0	18
0	53
0	53
0	53
0	53
0	53
0	58
0	88
0	1
0	35
0	1
0	272
0	272
0	272
0	272
0	272
0	272
0	272
0	272
0	106
0	109
0	106
0	17
0	7
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	1
0	10
0	11
0	11
0	24
0	0
0	19
0	3
0	1
0	2
0	0
0	16
0	2
0	5
0	5
0	6
0	133
0	5
0	57
0	57
0	0
0	0
0	1895
0	2512
0	2
0	88
0	34
0	0
0	5
0	0
0	0
0	4
0	0
0	0
0	5
0	16
0	1
0	8
0	109
0	0
0	2
0	20
0	20
0	103
0	103
0	103
0	0
0	4
0	0
0	1
0	0
0	8
0	3
0	3
0	3
0	0
0	1
0	102
0	13
0	1
0	1
0	0
0	0
0	1
0	23
0	23
0	23
0	9
0	19
0	19
0	9
0	9
0	9
0	7
0	6
0	0
