UniqueCount	AmbigCount
0	208740
0	792392
0	861786
0	599
0	1438
0	2181862
0	390
0	159
0	0
0	0
0	0
0	0
0	0
0	95
0	95
0	95
0	5
0	11
0	10
0	26
0	26
0	284
0	284
0	283
0	0
0	9
0	9
0	9
0	9
0	25
0	0
0	1
0	114
0	0
0	0
0	0
0	75
0	0
0	20
0	20
0	0
0	0
0	0
0	23
0	23
0	0
0	0
0	28
0	16
0	123
0	27
0	25
0	25
0	0
0	29
0	29
0	23
0	23
0	20
0	20
0	23
0	23
0	23
0	20
0	20
0	20
0	20
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	54
0	0
0	0
0	0
0	13
0	0
0	15
0	27
0	134
0	112
0	122
0	62
0	19
0	55
0	0
0	5
0	1
0	0
0	9
0	0
0	14
0	37
0	37
0	60
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	82
0	0
0	0
0	31
0	0
0	0
0	45
0	7
0	7
0	171
0	171
0	0
0	0
0	5
0	0
0	0
0	2
0	9
0	32
0	33
0	14
0	14
0	8
0	14
0	14
0	21
0	11
0	38
0	13
0	63
0	97
0	13
0	0
0	56
0	180
0	79
0	225
0	7
0	0
0	0
0	0
0	0
0	71
0	66
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	2
0	2
0	2
0	0
0	368
0	248
0	807
0	794
0	17
0	0
0	0
0	0
0	20
0	1
0	22
0	17
0	2
0	88
0	88
0	19
0	20
0	19
0	88
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	9
0	321
0	52
0	52
0	52
0	52
0	52
0	0
0	71
0	0
0	0
0	0
0	6
0	432
0	432
0	432
0	14
0	0
0	0
0	85
0	85
0	0
0	0
0	1
0	130
0	5
0	7
0	7
0	149
0	308
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	0
0	0
0	83
0	32
0	0
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	75
0	7
0	68
0	258
0	0
0	0
0	0
0	79
0	168
0	28
0	0
0	0
0	1
0	108
0	0
0	13
0	0
0	166
0	166
0	107
0	3
0	158
0	188
0	0
0	0
0	25
0	0
0	125
0	125
0	444
0	5
0	0
0	0
0	24
0	7
0	152
0	0
0	0
0	5
0	5
0	5
0	0
0	49
0	42
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	82
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	17
0	138
0	138
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	78
0	120
0	967
0	4
0	117
0	117
0	120
0	120
0	120
0	120
0	185
0	115
0	43
0	0
0	0
0	352
0	352
0	0
0	0
0	0
0	0
0	0
0	6583
0	0
0	112
0	112
0	101
0	0
0	6
0	0
0	181
0	57
0	0
0	14
0	0
0	7
0	0
0	112
0	0
0	503
0	101
0	101
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	33
0	97
0	97
0	52
0	10
0	0
0	45
0	45
0	0
0	56
0	19
0	35
0	0
0	0
0	0
0	75
0	75
0	0
0	74
0	0
0	29
0	351
0	8
0	4
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	84
0	10
0	10
0	10
0	391
0	0
0	0
0	0
0	0
0	23
0	0
0	700
0	601
0	0
0	0
0	2
0	49
0	315
0	12
0	55
0	0
0	0
0	82
0	24
0	8
0	14
0	14
0	8
0	8
0	32
0	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	8
0	0
0	0
0	139
0	8
0	0
0	0
0	9
0	0
0	9
0	9
0	9
0	9
0	0
0	0
0	71
0	0
0	71
0	9
0	0
0	0
0	7
0	0
0	0
0	1
0	0
0	1
0	20
0	24
0	8
0	0
0	0
0	93
0	0
0	0
0	0
0	506
0	67
0	214
0	214
0	2
0	11
0	6
0	478
0	581
0	0
0	0
0	39
0	5
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	27
0	0
0	1
0	18
0	18
0	122
0	0
0	0
0	0
0	134
0	134
0	0
0	0
0	0
0	11
0	2
0	0
0	0
0	0
0	0
0	58369
0	27146
0	26847
0	0
0	11871
0	147
0	0
0	33
0	8
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	13
0	0
0	3
0	0
0	0
0	0
0	22
0	13
0	1167
0	1167
0	0
0	0
0	0
0	53
0	53
0	0
0	0
0	31
0	18
0	345
0	0
0	17
0	0
0	0
0	0
0	149
0	149
0	655
0	0
0	0
0	0
0	0
0	0
0	41
0	41
0	6
0	424
0	408
0	408
0	0
0	0
0	0
0	290
0	101
0	29
0	29
0	57
0	44
0	0
0	0
0	12
0	10
0	0
0	0
0	21
0	0
0	0
0	0
0	218
0	0
0	0
0	0
0	13
0	21
0	22
0	21
0	39
0	0
0	0
0	0
0	0
0	0
0	26
0	0
0	0
0	0
0	0
0	40
0	0
0	0
0	0
0	0
0	10
0	0
0	0
0	21
0	76
0	0
0	14
0	250
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	108
0	108
0	108
0	194
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	36
0	36
0	0
0	0
0	0
0	0
0	13
0	7
0	11
0	0
0	0
0	0
0	0
0	5
0	0
0	95
0	0
0	0
0	0
0	41
0	0
0	84
0	479
0	616
0	43
0	0
0	0
0	740
0	249
0	706
0	461
0	12
0	22
0	1042
0	46
0	46
0	31
0	0
0	118
0	0
0	0
0	11
0	11
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	14
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	45
0	50
0	50
0	7
0	7
0	0
0	0
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	28
0	0
0	0
0	0
0	0
0	7
0	0
0	36
0	36
0	0
0	39
0	0
0	0
0	0
0	0
0	18
0	18
0	0
0	0
0	0
0	41
0	61
0	0
0	5
0	0
0	0
0	0
0	5
0	2
0	0
0	2
0	0
0	29
0	12
0	12
0	12
0	12
0	128
0	175
0	175
0	178
0	175
0	175
0	0
0	21
0	13
0	0
0	0
0	46
0	46
0	115
0	0
0	0
0	32
0	0
0	41
0	3
0	3
0	3
0	9
0	16
0	0
0	0
0	10
0	0
0	20
0	0
0	43
0	37
0	0
0	0
0	0
0	0
0	0
0	51
0	6
0	6
0	308
0	317
0	2265
0	2265
0	81
0	6
0	53
0	53
0	421
0	420
0	420
0	420
0	95
0	0
0	0
0	10
0	132
0	201
0	17
0	439
0	0
0	0
0	24
0	25
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	47
0	17
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	478
0	119
0	95
0	73
0	40
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	20
0	20
0	0
0	20
0	28
0	28
0	108
0	0
0	0
0	0
0	15
0	0
0	124
0	15
0	124
0	124
0	124
0	124
0	124
0	176
0	94
0	0
0	48
0	0
0	291
0	291
0	291
0	291
0	291
0	291
0	291
0	291
0	124
0	135
0	124
0	8
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	22
0	44
0	42
0	7
0	0
0	22
0	0
0	0
0	0
0	0
0	0
0	28
0	43
0	43
0	28
0	80
0	3
0	58
0	48
0	0
0	0
0	666
0	918
0	0
0	37
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	160
0	0
0	9
0	42
0	42
0	301
0	311
0	301
0	0
0	5
0	0
0	0
0	0
0	0
0	10
0	10
0	10
0	16
0	0
0	77
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	29
0	29
0	0
0	29
0	0
0	0
0	2
0	43
0	30
0	0
0	0
0	8
0	8
0	8
0	0
0	0
0	45
0	45
0	45
0	8
0	8
0	27
0	27
0	0
0	0
0	15
0	12
0	0
0	0
0	14
0	31
0	8
0	7
0	104
0	0
0	159
0	159
0	254
0	6
0	119
0	0
0	557
0	557
0	324
0	239
0	239
0	0
0	6
0	6
0	6
0	10
0	5
0	94
0	38
0	0
0	311
0	3
0	55
0	55
0	55
0	55
0	0
0	0
0	0
0	0
0	0
0	3
0	19
0	257
0	147
0	11
0	309
0	4
0	14
0	38
0	9
0	0
0	0
0	20
0	13
0	16
0	0
0	0
0	0
0	31
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3937
0	48
0	0
0	67
0	0
0	67
0	27
0	0
0	4
0	38
0	0
0	2
0	14
0	270
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	105
0	78
0	78
0	254
0	0
0	17
0	397
0	399
0	65
0	67
0	0
0	0
0	71
0	171
0	53
0	7
0	11
0	52
0	8
0	8
0	0
0	0
0	1
0	0
0	0
0	19
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	71
0	0
0	2
0	0
0	0
0	57
0	57
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	6
0	0
0	56
0	3
0	6333
0	33
0	13
0	0
0	0
0	65
0	36
0	423
0	629
0	629
0	88
0	0
0	14
0	14
0	23
0	14
0	23
0	0
0	224
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	39
0	39
0	39
0	39
0	380
0	23
0	5
0	0
0	12
0	0
0	42
0	4
0	0
0	24
0	24
0	24
0	16
0	0
0	0
0	0
0	0
0	0
0	16
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	21
0	0
0	14
0	0
0	6
0	14
0	14
0	14
0	14
0	33
0	598
0	632
0	0
0	0
0	0
0	90
0	53
0	9
0	0
0	0
0	0
0	0
0	0
0	337
0	36
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	15
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	33
0	0
0	11
0	11
0	0
0	6
0	12
0	3
0	3
0	5
0	470
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	14
0	14
0	40
0	40
0	55
0	45
0	24
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	95
0	9
0	53
0	0
0	20
0	182
0	182
0	0
0	48
0	0
0	10
0	228
0	297
0	45
0	45
0	0
0	9
0	2
0	2
0	0
0	0
0	8
0	8
0	8
0	8
0	50
0	2
0	2
0	50
0	172
0	3
0	5
0	69
0	54
0	54
0	54
0	54
0	54
0	0
0	0
0	0
0	6
0	1074
0	5
0	0
0	0
0	26
0	0
0	7
0	14
0	112
0	112
0	0
0	0
0	0
0	83
0	0
0	0
0	0
0	170
0	170
0	50
0	0
0	3
0	0
0	0
0	0
0	10
0	12
0	34
0	106
0	0
0	0
0	0
0	0
0	0
0	0
0	22
0	16
0	30
0	16
0	77
0	106
0	77
0	72
0	72
0	97
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	51
0	135
0	427
0	427
0	0
0	6
0	12
0	0
0	242
0	242
0	243
0	0
0	4
0	11
0	69
0	42
0	42
0	13
0	3
0	76
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	35
0	41
0	41
0	41
0	41
0	42
0	41
0	41
0	41
0	41
0	0
0	90
0	7
0	0
0	0
0	54
0	39
0	0
0	0
0	120
0	172
0	0
0	0
0	507
0	507
0	348
0	28
0	16
0	16
0	0
0	16
0	34
0	0
0	0
0	9
0	199
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	0
0	0
0	0
0	31
0	31
0	0
0	0
0	41
0	10
0	10
0	10
0	41
0	10
0	24
0	95
0	0
0	17
0	7
0	0
0	0
0	0
0	3
0	23
0	0
0	184
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	33
0	33
0	21
0	25
0	4
0	54
0	0
0	7
0	32
0	52
0	52
0	152
0	0
0	0
0	295
0	295
0	295
0	76
0	184
0	0
0	4380
0	75
0	0
0	65
0	49
0	5
0	47
0	63
0	55
0	15
0	15
0	0
0	23
0	23
0	94
0	94
0	0
0	0
0	7
0	0
0	9
0	9
0	12
0	0
0	0
0	493
0	58
0	21
0	49
0	248
0	0
0	0
0	13
0	139
0	0
0	147
0	0
0	0
0	3
0	0
0	55
0	165
0	173
0	9
0	0
0	13
0	13
0	132
0	132
0	1
0	0
0	0
0	18
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	22
0	22
0	22
0	32
0	22
0	0
0	75
0	3
0	0
0	15
0	0
0	0
0	443
0	32
0	32
0	0
0	0
0	0
0	0
0	523
0	0
0	0
0	24
0	5
0	10
0	0
0	0
0	0
0	8
0	358
0	0
0	0
0	6
0	0
0	33
0	0
0	0
0	0
0	8
0	8
0	8
0	17
0	178
0	23
0	30
0	30
0	0
0	0
0	0
0	5
0	5
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	135
0	0
0	0
0	0
0	1
0	4
0	5
0	0
0	0
0	37
0	37
0	4
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	48
0	13
0	0
0	0
0	0
0	0
0	2
0	88
0	16
0	24
0	8
0	5
0	50
0	17
0	138
0	0
0	261
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	29
0	20
0	586
0	11
0	11
0	9
0	1375
0	758
0	0
0	8
0	82
0	623
0	229
0	0
0	15
0	63
0	20
0	20
0	34
0	34
0	0
0	0
0	18
0	0
0	0
0	0
0	0
0	10
0	0
0	0
0	9
0	9
0	37
0	64
0	64
0	64
0	64
0	8
0	4
0	37
0	151
0	151
0	44
0	0
0	0
0	30
0	30
0	0
0	0
0	26
0	26
0	0
0	0
0	0
0	0
0	41
0	6
0	286
0	184
0	48
0	48
0	0
0	11
0	0
0	827
0	827
0	827
0	11
0	2096
0	0
0	0
0	0
0	15
0	15
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
0	0
0	0
0	19
0	0
0	0
0	10
0	10
0	29
0	24
0	84
0	84
0	0
0	0
0	99
0	99
0	99
0	0
0	102
0	19
0	79
0	542
0	92
0	0
0	0
0	46
0	46
0	13
0	0
0	0
0	645
0	183
0	22
0	2
0	0
0	52
0	52
0	52
0	52
0	113
0	26
0	94
0	0
0	15
0	15
0	280
0	0
0	0
0	44
0	0
0	0
0	269
0	274
0	274
0	34
0	0
0	8
0	0
0	7
0	8
0	3
0	46
0	124
0	0
0	0
0	0
0	0
0	0
0	23
0	51
0	0
0	0
0	42
0	0
0	2
0	0
0	2
0	2
0	51
0	0
0	0
0	0
0	7
0	6
0	13
0	698
0	0
0	0
0	4
0	0
0	67
0	64
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	203
0	0
0	0
0	12
0	12
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	0
0	0
0	6
0	6
0	6
0	7
0	68
0	0
0	0
0	6
0	76
0	76
0	76
0	0
0	6
0	0
0	453
0	377
0	311
0	311
0	0
0	0
0	0
0	0
0	15
0	46
0	0
0	0
0	0
0	16
0	0
0	67
0	16
0	16
0	0
0	30
0	80
0	0
0	0
0	31
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	129
0	129
0	129
0	129
0	129
0	129
0	129
0	129
0	0
0	64
0	0
0	0
0	251
0	24
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	6
0	15
0	0
0	0
0	6
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	221
0	0
0	0
0	6
0	85
0	27
0	12
0	12
0	12
0	12
0	8
0	44
0	15
0	0
0	0
0	0
0	131
0	14
0	44
0	0
0	16
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	33
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	1
